Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.1,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.2,gi|58978165|gb|AY753170.1|,99.10,223,2,0,1,223,330,108,3e-108,401
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.3,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.4,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.5,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.7,gi|58978165|gb|AY753170.1|,99.55,221,1,0,1,221,330,110,9e-109,403
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.8,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.9,gi|58978165|gb|AY753170.1|,99.55,221,1,0,1,221,330,110,9e-109,403
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.10,gi|58978165|gb|AY753170.1|,99.55,221,1,0,1,221,330,110,9e-109,403
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.11,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.12,gi|58978165|gb|AY753170.1|,99.55,222,1,0,1,222,330,109,2e-109,405
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.13,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.14,gi|58978165|gb|AY753170.1|,99.55,221,1,0,1,221,330,110,9e-109,403
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.15,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.16,gi|58978165|gb|AY753170.1|,99.11,225,2,0,1,225,330,106,2e-109,405
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.17,gi|58978165|gb|AY753170.1|,99.55,223,1,0,1,223,330,108,7e-110,407
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.18,gi|58978165|gb|AY753170.1|,99.55,221,1,0,1,221,330,110,9e-109,403
Bacteroidetes endosymbiont of Metaseiulus occidentalis,ERR1942280.19,gi|58978165|gb|AY753170.1|,99.11,225,2,0,1,225,330,106,2e-109,405
bacterium NE3006,ERR1942280.20,gi|575791587|gb|KF698323.1|,92.83,237,17,0,1,237,312,76,6e-91,344
